Free_Text
"Pasien Rahmat Widodo, KTP 3276010101010004, 52 tahun, perempuan, alamat Jl. Imam Bonjol No. 78, Surabaya, nomor telepon 081987654321, golongan darah A, nomor rekam medis 727106, datang pada 10/09/2023. Diperiksa oleh Dr. Farida Lestari, KTP 3173010202020004. Keluhan: hipertensi, keluhan tambahan: sesak napas. disarankan mengubah pola makan. Dokter rujukan: Dr. Hasan. keluhan masih tetap dirasakan, perlu observasi lebih lanjut"
"Pasien Wawan Purnomo, KTP 3276010101010009, 62 tahun, perempuan, alamat Jl. Sudirman No. 56, Bandung, nomor telepon 081234567890, golongan darah B, nomor rekam medis 870412, datang pada 11/09/2023. Diperiksa oleh Dr. Andika Pratama, KTP 3173010202020003. Keluhan: migrain, keluhan tambahan: nyeri kepala. diberikan suplemen zat besi. Dokter rujukan: Dr. Hasan. direkomendasikan untuk menjaga pola makan dan olahraga"
"Pasien Yanti Kartika, KTP 3276010101010004, 50 tahun, perempuan, alamat Jl. Merdeka No. 123, Jakarta, nomor telepon 081234567890, golongan darah O, nomor rekam medis 446535, datang pada 21/07/2023. Diperiksa oleh Dr. Sari Utami, KTP 3173010202020003. Keluhan: infeksi saluran pernapasan, keluhan tambahan: nyeri kepala. diberikan suplemen zat besi. Dokter rujukan: Dr. Lukman. pasien perlu kontrol lagi dalam 1 minggu"
"Pasien Lestari Nugroho, KTP 3276010101010007, 63 tahun, laki-laki, alamat Jl. Imam Bonjol No. 78, Surabaya, nomor telepon 081234567890, golongan darah AB, nomor rekam medis 245234, datang pada 26/09/2023. Diperiksa oleh Dr. Sinta Wulandari, KTP 3173010202020010. Keluhan: gagal jantung, keluhan tambahan: sulit tidur. diberikan inhaler. Dokter rujukan: Dr. Diah. akan dirujuk ke spesialis untuk evaluasi lebih lanjut"
"Pasien Yanti Kartika, KTP 3276010101010004, 72 tahun, laki-laki, alamat Jl. Imam Bonjol No. 78, Surabaya, nomor telepon 082234567654, golongan darah B, nomor rekam medis 391404, datang pada 28/07/2023. Diperiksa oleh Dr. Sari Utami, KTP 3173010202020010. Keluhan: diabetes mellitus tipe 2, keluhan tambahan: kelelahan. diberikan insulin. Dokter rujukan: Dr. Dian. diberikan edukasi terkait penyakit"
"Pasien Dewi Santika, KTP 3276010101010010, 51 tahun, laki-laki, alamat Jl. Diponegoro No. 12, Medan, nomor telepon 085643217890, golongan darah A, nomor rekam medis 117738, datang pada 6/08/2023. Diperiksa oleh Dr. Sumarno Hadi, KTP 3173010202020002. Keluhan: migrain, keluhan tambahan: sesak napas. direkomendasikan fisioterapi. Dokter rujukan: Dr. Diah. keluhan masih tetap dirasakan, perlu observasi lebih lanjut"
"Pasien Wawan Purnomo, KTP 3276010101010003, 24 tahun, perempuan, alamat Jl. Sudirman No. 56, Bandung, nomor telepon 081234567890, golongan darah A, nomor rekam medis 887194, datang pada 17/08/2023. Diperiksa oleh Dr. Gunawan Putra, KTP 3173010202020006. Keluhan: infeksi saluran pernapasan, keluhan tambahan: nyeri kepala. diberikan resep anti migrain. Dokter rujukan: Dr. Diah. diberikan edukasi terkait penyakit"
"Pasien Andi Suryana, KTP 3276010101010006, 23 tahun, perempuan, alamat Jl. Sudirman No. 56, Bandung, nomor telepon 081987654321, golongan darah O, nomor rekam medis 392211, datang pada 8/09/2023. Diperiksa oleh Dr. Sumarno Hadi, KTP 3173010202020003. Keluhan: anemia, keluhan tambahan: sesak napas. disarankan mengubah pola makan. Dokter rujukan: Dr. Hasan. diberikan edukasi terkait penyakit"
"Pasien Nita Susanti, KTP 3276010101010004, 71 tahun, perempuan, alamat Jl. Imam Bonjol No. 78, Surabaya, nomor telepon 085643217890, golongan darah B, nomor rekam medis 518627, datang pada 10/07/2023. Diperiksa oleh Dr. Wahyu Nugraha, KTP 3173010202020001. Keluhan: nyeri punggung, keluhan tambahan: pusing. diberikan diuretik. Dokter rujukan: Dr. Diah. diberikan edukasi terkait penyakit"
"Pasien Yudi Raharjo, KTP 3276010101010003, 77 tahun, laki-laki, alamat Jl. Imam Bonjol No. 78, Surabaya, nomor telepon 081234567890, golongan darah A, nomor rekam medis 941755, datang pada 19/09/2023. Diperiksa oleh Dr. Sinta Wulandari, KTP 3173010202020004. Keluhan: migrain, keluhan tambahan: pusing. diberikan insulin. Dokter rujukan: Dr. Hasan. dijadwalkan untuk pemeriksaan lanjutan bulan depan"
"Pasien Rahmat Widodo, KTP 3276010101010002, 75 tahun, perempuan, alamat Jl. Diponegoro No. 12, Medan, nomor telepon 081234567890, golongan darah AB, nomor rekam medis 224418, datang pada 1/08/2023. Diperiksa oleh Dr. Rini Maharani, KTP 3173010202020010. Keluhan: hipertensi, keluhan tambahan: kelelahan. diberikan inhaler. Dokter rujukan: Dr. Diah. diminta mengurangi konsumsi garam dan lemak"
"Pasien Yanti Kartika, KTP 3276010101010004, 76 tahun, laki-laki, alamat Jl. Diponegoro No. 12, Medan, nomor telepon 082234567654, golongan darah A, nomor rekam medis 541885, datang pada 10/08/2023. Diperiksa oleh Dr. Sari Utami, KTP 3173010202020001. Keluhan: gagal jantung, keluhan tambahan: mual. diberikan antihistamin. Dokter rujukan: Dr. Lukman. keluhan masih tetap dirasakan, perlu observasi lebih lanjut"
"Pasien Nita Susanti, KTP 3276010101010009, 35 tahun, perempuan, alamat Jl. Sudirman No. 56, Bandung, nomor telepon 085643217890, golongan darah O, nomor rekam medis 163738, datang pada 10/09/2023. Diperiksa oleh Dr. Sinta Wulandari, KTP 3173010202020003. Keluhan: asma, keluhan tambahan: mual. diberikan obat antihipertensi. Dokter rujukan: Dr. Hasan. pasien perlu kontrol lagi dalam 1 minggu"
"Pasien Yudi Raharjo, KTP 3276010101010009, 21 tahun, perempuan, alamat Jl. Diponegoro No. 12, Medan, nomor telepon 081987654321, golongan darah O, nomor rekam medis 736593, datang pada 22/09/2023. Diperiksa oleh Dr. Sari Utami, KTP 3173010202020002. Keluhan: asma, keluhan tambahan: pusing. diberikan antibiotik selama 5 hari. Dokter rujukan: Dr. Lukman. diberikan edukasi terkait penyakit"
"Pasien Rahmat Widodo, KTP 3276010101010005, 24 tahun, laki-laki, alamat Jl. Merdeka No. 123, Jakarta, nomor telepon 081234567890, golongan darah O, nomor rekam medis 618534, datang pada 6/09/2023. Diperiksa oleh Dr. Budi Santoso, KTP 3173010202020003. Keluhan: nyeri punggung, keluhan tambahan: kelelahan. direkomendasikan fisioterapi. Dokter rujukan: Dr. Hasan. pasien merasa lebih baik setelah obat diberikan"
"Pasien Lestari Nugroho, KTP 3276010101010003, 54 tahun, perempuan, alamat Jl. Imam Bonjol No. 78, Surabaya, nomor telepon 082234567654, golongan darah AB, nomor rekam medis 894301, datang pada 26/07/2023. Diperiksa oleh Dr. Sari Utami, KTP 3173010202020004. Keluhan: anemia, keluhan tambahan: sakit pinggang. diberikan resep anti migrain. Dokter rujukan: Dr. Dian. diminta mengurangi konsumsi garam dan lemak"
"Pasien Tono Suryono, KTP 3276010101010010, 51 tahun, laki-laki, alamat Jl. Sudirman No. 56, Bandung, nomor telepon 085643217890, golongan darah AB, nomor rekam medis 546528, datang pada 6/07/2023. Diperiksa oleh Dr. Farida Lestari, KTP 3173010202020008. Keluhan: diabetes mellitus tipe 2, keluhan tambahan: nyeri kepala. diberikan diuretik. Dokter rujukan: Dr. Hasan. pasien perlu kontrol lagi dalam 1 minggu"
"Pasien Yanti Kartika, KTP 3276010101010002, 74 tahun, perempuan, alamat Jl. Sudirman No. 56, Bandung, nomor telepon 081987654321, golongan darah A, nomor rekam medis 375839, datang pada 22/09/2023. Diperiksa oleh Dr. Andika Pratama, KTP 3173010202020005. Keluhan: anemia, keluhan tambahan: sulit tidur. diberikan obat antihipertensi. Dokter rujukan: Dr. Lukman. dijadwalkan untuk pemeriksaan lanjutan bulan depan"
"Pasien Yanti Kartika, KTP 3276010101010004, 60 tahun, laki-laki, alamat Jl. Diponegoro No. 12, Medan, nomor telepon 085643217890, golongan darah B, nomor rekam medis 451292, datang pada 5/08/2023. Diperiksa oleh Dr. Aditya Widjaja, KTP 3173010202020006. Keluhan: alergi musiman, keluhan tambahan: pusing. direkomendasikan fisioterapi. Dokter rujukan: Dr. Diah. pasien merasa lebih baik setelah obat diberikan"
"Pasien Yanti Kartika, KTP 3276010101010007, 39 tahun, laki-laki, alamat Jl. Sudirman No. 56, Bandung, nomor telepon 081234567890, golongan darah O, nomor rekam medis 509600, datang pada 5/08/2023. Diperiksa oleh Dr. Sinta Wulandari, KTP 3173010202020006. Keluhan: anemia, keluhan tambahan: batuk. diberikan suplemen zat besi. Dokter rujukan: Dr. Lukman. diminta mengurangi konsumsi garam dan lemak"
"Pasien Nita Susanti, KTP 3276010101010001, 76 tahun, perempuan, alamat Jl. Sudirman No. 56, Bandung, nomor telepon 085643217890, golongan darah A, nomor rekam medis 795074, datang pada 1/08/2023. Diperiksa oleh Dr. Sumarno Hadi, KTP 3173010202020003. Keluhan: migrain, keluhan tambahan: batuk. diberikan suplemen zat besi. Dokter rujukan: Dr. Hasan. keluhan sudah berkurang setelah pengobatan"
"Pasien Yudi Raharjo, KTP 3276010101010001, 80 tahun, laki-laki, alamat Jl. Merdeka No. 123, Jakarta, nomor telepon 081987654321, golongan darah B, nomor rekam medis 948551, datang pada 5/08/2023. Diperiksa oleh Dr. Wahyu Nugraha, KTP 3173010202020003. Keluhan: infeksi saluran pernapasan, keluhan tambahan: sulit tidur. disarankan mengubah pola makan. Dokter rujukan: Dr. Diah. pasien perlu kontrol lagi dalam 1 minggu"
"Pasien Andi Suryana, KTP 3276010101010007, 23 tahun, perempuan, alamat Jl. Merdeka No. 123, Jakarta, nomor telepon 082234567654, golongan darah AB, nomor rekam medis 969761, datang pada 5/07/2023. Diperiksa oleh Dr. Andika Pratama, KTP 3173010202020005. Keluhan: kolesterol tinggi, keluhan tambahan: sakit pinggang. disarankan mengubah pola makan. Dokter rujukan: Dr. Diah. keluhan sudah berkurang setelah pengobatan"
"Pasien Nita Susanti, KTP 3276010101010010, 57 tahun, laki-laki, alamat Jl. Merdeka No. 123, Jakarta, nomor telepon 081987654321, golongan darah O, nomor rekam medis 126100, datang pada 7/08/2023. Diperiksa oleh Dr. Sumarno Hadi, KTP 3173010202020009. Keluhan: infeksi saluran pernapasan, keluhan tambahan: kelelahan. diberikan antihistamin. Dokter rujukan: Dr. Diah. pasien merasa lebih baik setelah obat diberikan"
"Pasien Wawan Purnomo, KTP 3276010101010004, 47 tahun, laki-laki, alamat Jl. Imam Bonjol No. 78, Surabaya, nomor telepon 081987654321, golongan darah O, nomor rekam medis 727489, datang pada 18/09/2023. Diperiksa oleh Dr. Gunawan Putra, KTP 3173010202020001. Keluhan: nyeri punggung, keluhan tambahan: batuk. diberikan antihistamin. Dokter rujukan: Dr. Hasan. perlu dilakukan tes darah ulang"
"Pasien Tono Suryono, KTP 3276010101010003, 47 tahun, perempuan, alamat Jl. Imam Bonjol No. 78, Surabaya, nomor telepon 082234567654, golongan darah AB, nomor rekam medis 958676, datang pada 27/08/2023. Diperiksa oleh Dr. Sumarno Hadi, KTP 3173010202020010. Keluhan: infeksi saluran pernapasan, keluhan tambahan: kelelahan. diberikan inhaler. Dokter rujukan: Dr. Dian. perlu dilakukan tes darah ulang"
"Pasien Siti Aminah, KTP 3276010101010010, 60 tahun, laki-laki, alamat Jl. Sudirman No. 56, Bandung, nomor telepon 081987654321, golongan darah B, nomor rekam medis 766541, datang pada 12/09/2023. Diperiksa oleh Dr. Wahyu Nugraha, KTP 3173010202020002. Keluhan: alergi musiman, keluhan tambahan: nyeri kepala. diberikan insulin. Dokter rujukan: Dr. Dian. akan dirujuk ke spesialis untuk evaluasi lebih lanjut"
"Pasien Tono Suryono, KTP 3276010101010008, 78 tahun, laki-laki, alamat Jl. Imam Bonjol No. 78, Surabaya, nomor telepon 082234567654, golongan darah AB, nomor rekam medis 807084, datang pada 22/08/2023. Diperiksa oleh Dr. Sari Utami, KTP 3173010202020005. Keluhan: alergi musiman, keluhan tambahan: sakit pinggang. diberikan antibiotik selama 5 hari. Dokter rujukan: Dr. Diah. pasien perlu kontrol lagi dalam 1 minggu"
"Pasien Andi Suryana, KTP 3276010101010009, 33 tahun, perempuan, alamat Jl. Sudirman No. 56, Bandung, nomor telepon 081234567890, golongan darah A, nomor rekam medis 886651, datang pada 21/08/2023. Diperiksa oleh Dr. Aditya Widjaja, KTP 3173010202020001. Keluhan: migrain, keluhan tambahan: mual. diberikan insulin. Dokter rujukan: Dr. Hasan. direkomendasikan untuk menjaga pola makan dan olahraga"
"Pasien Nita Susanti, KTP 3276010101010005, 47 tahun, perempuan, alamat Jl. Sudirman No. 56, Bandung, nomor telepon 081234567890, golongan darah B, nomor rekam medis 646106, datang pada 20/07/2023. Diperiksa oleh Dr. Sari Utami, KTP 3173010202020002. Keluhan: asma, keluhan tambahan: batuk. diberikan obat antihipertensi. Dokter rujukan: Dr. Diah. direkomendasikan untuk menjaga pola makan dan olahraga"
"Pasien Siti Aminah, KTP 3276010101010010, 65 tahun, laki-laki, alamat Jl. Merdeka No. 123, Jakarta, nomor telepon 081987654321, golongan darah B, nomor rekam medis 398239, datang pada 10/08/2023. Diperiksa oleh Dr. Sumarno Hadi, KTP 3173010202020002. Keluhan: gagal jantung, keluhan tambahan: mual. diberikan suplemen zat besi. Dokter rujukan: Dr. Hasan. keluhan sudah berkurang setelah pengobatan"
"Pasien Andi Suryana, KTP 3276010101010001, 46 tahun, perempuan, alamat Jl. Diponegoro No. 12, Medan, nomor telepon 081234567890, golongan darah AB, nomor rekam medis 992164, datang pada 27/09/2023. Diperiksa oleh Dr. Sari Utami, KTP 3173010202020002. Keluhan: nyeri punggung, keluhan tambahan: nyeri kepala. diberikan diuretik. Dokter rujukan: Dr. Lukman. pasien perlu kontrol lagi dalam 1 minggu"
"Pasien Lestari Nugroho, KTP 3276010101010009, 34 tahun, laki-laki, alamat Jl. Merdeka No. 123, Jakarta, nomor telepon 081987654321, golongan darah A, nomor rekam medis 799551, datang pada 4/07/2023. Diperiksa oleh Dr. Sari Utami, KTP 3173010202020005. Keluhan: alergi musiman, keluhan tambahan: sesak napas. diberikan obat antihipertensi. Dokter rujukan: Dr. Diah. akan dirujuk ke spesialis untuk evaluasi lebih lanjut"
"Pasien Dewi Santika, KTP 3276010101010003, 72 tahun, laki-laki, alamat Jl. Sudirman No. 56, Bandung, nomor telepon 081234567890, golongan darah A, nomor rekam medis 414309, datang pada 25/09/2023. Diperiksa oleh Dr. Farida Lestari, KTP 3173010202020010. Keluhan: hipertensi, keluhan tambahan: pusing. diberikan resep anti migrain. Dokter rujukan: Dr. Dian. diberikan edukasi terkait penyakit"
"Pasien Wawan Purnomo, KTP 3276010101010005, 40 tahun, laki-laki, alamat Jl. Sudirman No. 56, Bandung, nomor telepon 081987654321, golongan darah A, nomor rekam medis 877679, datang pada 12/08/2023. Diperiksa oleh Dr. Sinta Wulandari, KTP 3173010202020001. Keluhan: migrain, keluhan tambahan: sakit pinggang. diberikan antihistamin. Dokter rujukan: Dr. Diah. diminta mengurangi konsumsi garam dan lemak"
"Pasien Andi Suryana, KTP 3276010101010009, 65 tahun, perempuan, alamat Jl. Merdeka No. 123, Jakarta, nomor telepon 082234567654, golongan darah AB, nomor rekam medis 168087, datang pada 4/09/2023. Diperiksa oleh Dr. Farida Lestari, KTP 3173010202020004. Keluhan: kolesterol tinggi, keluhan tambahan: sakit pinggang. diberikan inhaler. Dokter rujukan: Dr. Diah. keluhan masih tetap dirasakan, perlu observasi lebih lanjut"
"Pasien Tono Suryono, KTP 3276010101010001, 54 tahun, laki-laki, alamat Jl. Sudirman No. 56, Bandung, nomor telepon 081987654321, golongan darah AB, nomor rekam medis 103391, datang pada 5/08/2023. Diperiksa oleh Dr. Rini Maharani, KTP 3173010202020003. Keluhan: alergi musiman, keluhan tambahan: batuk. diberikan insulin. Dokter rujukan: Dr. Lukman. pasien perlu kontrol lagi dalam 1 minggu"
"Pasien Wawan Purnomo, KTP 3276010101010006, 42 tahun, perempuan, alamat Jl. Merdeka No. 123, Jakarta, nomor telepon 081234567890, golongan darah A, nomor rekam medis 569328, datang pada 11/07/2023. Diperiksa oleh Dr. Andika Pratama, KTP 3173010202020010. Keluhan: gagal jantung, keluhan tambahan: sesak napas. diberikan diuretik. Dokter rujukan: Dr. Dian. keluhan masih tetap dirasakan, perlu observasi lebih lanjut"
"Pasien Yanti Kartika, KTP 3276010101010010, 57 tahun, perempuan, alamat Jl. Imam Bonjol No. 78, Surabaya, nomor telepon 085643217890, golongan darah AB, nomor rekam medis 295487, datang pada 17/08/2023. Diperiksa oleh Dr. Sinta Wulandari, KTP 3173010202020005. Keluhan: alergi musiman, keluhan tambahan: pusing. diberikan insulin. Dokter rujukan: Dr. Dian. keluhan sudah berkurang setelah pengobatan"
"Pasien Lestari Nugroho, KTP 3276010101010002, 41 tahun, laki-laki, alamat Jl. Diponegoro No. 12, Medan, nomor telepon 082234567654, golongan darah O, nomor rekam medis 352873, datang pada 6/08/2023. Diperiksa oleh Dr. Farida Lestari, KTP 3173010202020010. Keluhan: kolesterol tinggi, keluhan tambahan: batuk. diberikan suplemen zat besi. Dokter rujukan: Dr. Dian. dijadwalkan untuk pemeriksaan lanjutan bulan depan"
"Pasien Dewi Santika, KTP 3276010101010003, 56 tahun, perempuan, alamat Jl. Imam Bonjol No. 78, Surabaya, nomor telepon 082234567654, golongan darah A, nomor rekam medis 806039, datang pada 12/08/2023. Diperiksa oleh Dr. Sumarno Hadi, KTP 3173010202020005. Keluhan: nyeri punggung, keluhan tambahan: batuk. diberikan obat antihipertensi. Dokter rujukan: Dr. Dian. direkomendasikan untuk menjaga pola makan dan olahraga"
"Pasien Yudi Raharjo, KTP 3276010101010004, 51 tahun, perempuan, alamat Jl. Sudirman No. 56, Bandung, nomor telepon 081234567890, golongan darah B, nomor rekam medis 356839, datang pada 28/09/2023. Diperiksa oleh Dr. Rini Maharani, KTP 3173010202020001. Keluhan: infeksi saluran pernapasan, keluhan tambahan: sulit tidur. disarankan mengubah pola makan. Dokter rujukan: Dr. Lukman. akan dirujuk ke spesialis untuk evaluasi lebih lanjut"
"Pasien Tono Suryono, KTP 3276010101010007, 32 tahun, laki-laki, alamat Jl. Sudirman No. 56, Bandung, nomor telepon 085643217890, golongan darah B, nomor rekam medis 991107, datang pada 11/07/2023. Diperiksa oleh Dr. Rini Maharani, KTP 3173010202020008. Keluhan: kolesterol tinggi, keluhan tambahan: mual. diberikan antihistamin. Dokter rujukan: Dr. Lukman. direkomendasikan untuk menjaga pola makan dan olahraga"
"Pasien Yanti Kartika, KTP 3276010101010007, 72 tahun, perempuan, alamat Jl. Merdeka No. 123, Jakarta, nomor telepon 081234567890, golongan darah A, nomor rekam medis 633921, datang pada 5/08/2023. Diperiksa oleh Dr. Rini Maharani, KTP 3173010202020007. Keluhan: hipertensi, keluhan tambahan: mual. diberikan insulin. Dokter rujukan: Dr. Dian. diberikan edukasi terkait penyakit"
"Pasien Wawan Purnomo, KTP 3276010101010010, 62 tahun, perempuan, alamat Jl. Sudirman No. 56, Bandung, nomor telepon 085643217890, golongan darah B, nomor rekam medis 256294, datang pada 17/08/2023. Diperiksa oleh Dr. Aditya Widjaja, KTP 3173010202020006. Keluhan: hipertensi, keluhan tambahan: batuk. diberikan antibiotik selama 5 hari. Dokter rujukan: Dr. Diah. akan dirujuk ke spesialis untuk evaluasi lebih lanjut"
"Pasien Rahmat Widodo, KTP 3276010101010003, 39 tahun, laki-laki, alamat Jl. Imam Bonjol No. 78, Surabaya, nomor telepon 082234567654, golongan darah O, nomor rekam medis 161967, datang pada 9/09/2023. Diperiksa oleh Dr. Sinta Wulandari, KTP 3173010202020009. Keluhan: hipertensi, keluhan tambahan: nyeri kepala. diberikan suplemen zat besi. Dokter rujukan: Dr. Lukman. direkomendasikan untuk menjaga pola makan dan olahraga"
"Pasien Lestari Nugroho, KTP 3276010101010003, 67 tahun, perempuan, alamat Jl. Imam Bonjol No. 78, Surabaya, nomor telepon 081234567890, golongan darah A, nomor rekam medis 284601, datang pada 6/09/2023. Diperiksa oleh Dr. Budi Santoso, KTP 3173010202020004. Keluhan: infeksi saluran pernapasan, keluhan tambahan: batuk. disarankan mengubah pola makan. Dokter rujukan: Dr. Diah. keluhan sudah berkurang setelah pengobatan"
"Pasien Tono Suryono, KTP 3276010101010009, 54 tahun, perempuan, alamat Jl. Diponegoro No. 12, Medan, nomor telepon 085643217890, golongan darah O, nomor rekam medis 746183, datang pada 28/09/2023. Diperiksa oleh Dr. Budi Santoso, KTP 3173010202020010. Keluhan: anemia, keluhan tambahan: sulit tidur. diberikan insulin. Dokter rujukan: Dr. Diah. perlu dilakukan tes darah ulang"
"Pasien Rahmat Widodo, KTP 3276010101010007, 50 tahun, laki-laki, alamat Jl. Sudirman No. 56, Bandung, nomor telepon 081234567890, golongan darah A, nomor rekam medis 338341, datang pada 7/07/2023. Diperiksa oleh Dr. Aditya Widjaja, KTP 3173010202020006. Keluhan: gagal jantung, keluhan tambahan: pusing. diberikan suplemen zat besi. Dokter rujukan: Dr. Lukman. keluhan sudah berkurang setelah pengobatan"
"Pasien Rahmat Widodo, KTP 3276010101010001, 74 tahun, laki-laki, alamat Jl. Imam Bonjol No. 78, Surabaya, nomor telepon 082234567654, golongan darah A, nomor rekam medis 212762, datang pada 5/07/2023. Diperiksa oleh Dr. Budi Santoso, KTP 3173010202020004. Keluhan: hipertensi, keluhan tambahan: sakit pinggang. disarankan mengubah pola makan. Dokter rujukan: Dr. Hasan. pasien perlu kontrol lagi dalam 1 minggu"
"Pasien Lestari Nugroho, KTP 3276010101010004, 34 tahun, laki-laki, alamat Jl. Merdeka No. 123, Jakarta, nomor telepon 081234567890, golongan darah O, nomor rekam medis 753271, datang pada 1/09/2023. Diperiksa oleh Dr. Gunawan Putra, KTP 3173010202020003. Keluhan: hipertensi, keluhan tambahan: pusing. diberikan diuretik. Dokter rujukan: Dr. Lukman. perlu dilakukan tes darah ulang"
"Pasien Rahmat Widodo, KTP 3276010101010001, 76 tahun, perempuan, alamat Jl. Imam Bonjol No. 78, Surabaya, nomor telepon 081987654321, golongan darah AB, nomor rekam medis 927725, datang pada 21/08/2023. Diperiksa oleh Dr. Rini Maharani, KTP 3173010202020004. Keluhan: asma, keluhan tambahan: kelelahan. diberikan suplemen zat besi. Dokter rujukan: Dr. Lukman. pasien merasa lebih baik setelah obat diberikan"
"Pasien Rahmat Widodo, KTP 3276010101010006, 51 tahun, perempuan, alamat Jl. Sudirman No. 56, Bandung, nomor telepon 082234567654, golongan darah O, nomor rekam medis 281534, datang pada 7/09/2023. Diperiksa oleh Dr. Farida Lestari, KTP 3173010202020005. Keluhan: kolesterol tinggi, keluhan tambahan: kelelahan. diberikan inhaler. Dokter rujukan: Dr. Hasan. keluhan masih tetap dirasakan, perlu observasi lebih lanjut"
"Pasien Andi Suryana, KTP 3276010101010001, 46 tahun, laki-laki, alamat Jl. Sudirman No. 56, Bandung, nomor telepon 081987654321, golongan darah B, nomor rekam medis 415884, datang pada 2/09/2023. Diperiksa oleh Dr. Andika Pratama, KTP 3173010202020001. Keluhan: hipertensi, keluhan tambahan: sakit pinggang. diberikan suplemen zat besi. Dokter rujukan: Dr. Hasan. pasien perlu kontrol lagi dalam 1 minggu"
"Pasien Tono Suryono, KTP 3276010101010009, 72 tahun, laki-laki, alamat Jl. Diponegoro No. 12, Medan, nomor telepon 082234567654, golongan darah O, nomor rekam medis 801216, datang pada 2/07/2023. Diperiksa oleh Dr. Andika Pratama, KTP 3173010202020003. Keluhan: gagal jantung, keluhan tambahan: sakit pinggang. diberikan diuretik. Dokter rujukan: Dr. Hasan. pasien perlu kontrol lagi dalam 1 minggu"
"Pasien Andi Suryana, KTP 3276010101010008, 26 tahun, laki-laki, alamat Jl. Merdeka No. 123, Jakarta, nomor telepon 082234567654, golongan darah AB, nomor rekam medis 877963, datang pada 28/08/2023. Diperiksa oleh Dr. Sumarno Hadi, KTP 3173010202020008. Keluhan: diabetes mellitus tipe 2, keluhan tambahan: kelelahan. diberikan antihistamin. Dokter rujukan: Dr. Diah. dijadwalkan untuk pemeriksaan lanjutan bulan depan"
"Pasien Rahmat Widodo, KTP 3276010101010008, 64 tahun, perempuan, alamat Jl. Merdeka No. 123, Jakarta, nomor telepon 082234567654, golongan darah O, nomor rekam medis 240112, datang pada 20/08/2023. Diperiksa oleh Dr. Budi Santoso, KTP 3173010202020004. Keluhan: asma, keluhan tambahan: sulit tidur. diberikan inhaler. Dokter rujukan: Dr. Dian. akan dirujuk ke spesialis untuk evaluasi lebih lanjut"
"Pasien Andi Suryana, KTP 3276010101010010, 44 tahun, perempuan, alamat Jl. Diponegoro No. 12, Medan, nomor telepon 081234567890, golongan darah O, nomor rekam medis 839328, datang pada 25/07/2023. Diperiksa oleh Dr. Andika Pratama, KTP 3173010202020002. Keluhan: infeksi saluran pernapasan, keluhan tambahan: sakit pinggang. diberikan suplemen zat besi. Dokter rujukan: Dr. Lukman. akan dirujuk ke spesialis untuk evaluasi lebih lanjut"
"Pasien Yudi Raharjo, KTP 3276010101010001, 38 tahun, laki-laki, alamat Jl. Diponegoro No. 12, Medan, nomor telepon 082234567654, golongan darah A, nomor rekam medis 517727, datang pada 1/07/2023. Diperiksa oleh Dr. Rini Maharani, KTP 3173010202020004. Keluhan: nyeri punggung, keluhan tambahan: pusing. diberikan diuretik. Dokter rujukan: Dr. Dian. diminta mengurangi konsumsi garam dan lemak"
"Pasien Yudi Raharjo, KTP 3276010101010003, 38 tahun, laki-laki, alamat Jl. Merdeka No. 123, Jakarta, nomor telepon 082234567654, golongan darah O, nomor rekam medis 469064, datang pada 8/09/2023. Diperiksa oleh Dr. Gunawan Putra, KTP 3173010202020003. Keluhan: infeksi saluran pernapasan, keluhan tambahan: batuk. direkomendasikan fisioterapi. Dokter rujukan: Dr. Hasan. diberikan edukasi terkait penyakit"
"Pasien Yudi Raharjo, KTP 3276010101010002, 24 tahun, perempuan, alamat Jl. Sudirman No. 56, Bandung, nomor telepon 081987654321, golongan darah AB, nomor rekam medis 597872, datang pada 13/08/2023. Diperiksa oleh Dr. Sari Utami, KTP 3173010202020006. Keluhan: migrain, keluhan tambahan: nyeri kepala. diberikan inhaler. Dokter rujukan: Dr. Dian. akan dirujuk ke spesialis untuk evaluasi lebih lanjut"
"Pasien Dewi Santika, KTP 3276010101010001, 24 tahun, perempuan, alamat Jl. Merdeka No. 123, Jakarta, nomor telepon 081987654321, golongan darah O, nomor rekam medis 316473, datang pada 13/09/2023. Diperiksa oleh Dr. Budi Santoso, KTP 3173010202020005. Keluhan: gagal jantung, keluhan tambahan: batuk. diberikan diuretik. Dokter rujukan: Dr. Lukman. pasien merasa lebih baik setelah obat diberikan"
"Pasien Lestari Nugroho, KTP 3276010101010006, 62 tahun, laki-laki, alamat Jl. Imam Bonjol No. 78, Surabaya, nomor telepon 081987654321, golongan darah O, nomor rekam medis 824761, datang pada 13/08/2023. Diperiksa oleh Dr. Budi Santoso, KTP 3173010202020009. Keluhan: diabetes mellitus tipe 2, keluhan tambahan: kelelahan. direkomendasikan fisioterapi. Dokter rujukan: Dr. Dian. pasien perlu kontrol lagi dalam 1 minggu"
"Pasien Rahmat Widodo, KTP 3276010101010010, 67 tahun, perempuan, alamat Jl. Diponegoro No. 12, Medan, nomor telepon 082234567654, golongan darah O, nomor rekam medis 928273, datang pada 14/07/2023. Diperiksa oleh Dr. Sumarno Hadi, KTP 3173010202020005. Keluhan: anemia, keluhan tambahan: sulit tidur. disarankan mengubah pola makan. Dokter rujukan: Dr. Diah. perlu dilakukan tes darah ulang"
